WhichWord,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
new,0.474549491427,0.20795764048,0.247105943854,1.0,-0.0342421101954,0.6621134311,0.254307753815,0.0832997633215,-0.521141062548,0.142543841579,0.0226335874362,0.156485199239,-0.000874084805491,0.12495633932,0.0515949736789,0.0031494992249,0.0525253472144,-0.129011894509,-0.00311453376812,0.236400705426,-0.0270835052594,-0.100235673438,0.394712837622,-0.212121292386,-0.0945478554819,-0.269988607039,0.00258792037266,0.107188124929,0.0504163646784,0.0117401245286,-0.117265570419,0.0203610804935,0.115395087286,0.0887270211921,0.147942312878,-0.123045796732,-0.203034457067,-0.229544677593,0.139930488449,0.156340488468,-0.0467508417033,-0.098070526097,0.283194126199,0.200494344614,-0.106675980991,-0.0401710845287,-0.148915480509,-0.230721670946,0.202656697623,-0.203767056498,0.481393549865,0.481976028903,-0.00859169407798,0.163254128442,-0.0645010964082,0.164477285415,0.0958876656908,0.0447279667427,0.0904942722746,0.172663807421,0.149643228707,-0.278416927094,-0.241347550034,-0.617487201417,-0.0842562843029,0.160186526293,-0.0780893420713,-0.0784433690102,0.167031308737,-0.245450682575,0.119564330622,-0.280196149697,0.175033550471,-0.567208309741,-0.173105515147,-0.372845157538,0.158989003943,-0.349291105853,-0.465313588412,-0.469356164279,-0.1479436277,0.304428237594,0.435476952603,-0.0329459615452,-0.149605879201,-0.080774954534,-0.178089593147,-0.222954170646,-0.139883214867,-0.26907275238,-0.182626226029,-0.402968020117,-0.443325091276,0.20699095628,0.100115459475,-0.0831168912486,0.414008060338,-0.238782682378,0.117683078233,-0.175433491247
school,0.385947067371,0.106674647998,-0.135862211356,-0.377197815841,0.0708090269576,0.928588538616,-0.0229053355913,0.0185189892187,-0.505721021589,-0.032395475679,-0.185295135732,0.127863001378,0.426439526066,0.270836949527,-0.113021425198,0.362700551119,-0.0356242049495,0.452681964835,-0.506259140471,-0.0578955839711,-0.684139124021,-1.0,0.121655688073,0.381422086731,-0.360289745415,0.22108354495,-0.586732975744,-0.448012962253,0.631387065057,-0.0630201934475,0.540921082191,0.418706221652,0.368404305535,-0.0764838682333,-0.435033240528,0.228091624529,0.36713660418,0.309313648525,0.410433246109,0.803474912511,0.0128588157824,0.498823524738,-0.114836248117,-0.23479495523,0.184265431229,-0.123100418152,-0.0729097880776,-0.675972502794,-0.0935554370985,-0.450198126379,-0.117568075497,-0.803071996183,-0.246167932673,0.112206261562,-0.26289343058,0.464722616764,-0.256714040848,0.313687593556,-0.271079020524,0.704451467348,0.664578945502,-0.00160156592693,-0.533129872549,0.268523665172,-0.233352333349,-0.129501123605,-0.0907227414242,-0.626178629571,-0.0698730458587,-0.119002875314,0.413807285681,0.18276994929,-0.257038864268,0.0121178776225,-0.129850240707,-0.234149179379,0.608151546641,0.043913992145,-0.019643622107,0.0865326988827,-0.232553180295,0.328172006811,-0.299822438183,0.0987623551103,0.442746696681,-0.151294128639,-0.0737639087133,-0.63199586579,0.328431853021,-0.287211117361,0.580615613533,0.339158428932,0.111727483003,0.543822516748,0.074729993425,0.17260394874,-0.116193669263,-0.980836617484,0.231968716594,0.359848641363
used,0.452028042975,0.394494754011,0.368567618587,-0.221504368895,0.264586241438,-0.610450381185,-0.437015324926,0.0901453527858,-0.110772199724,0.194814682179,-0.335695947664,0.0435238321476,-0.0548142776676,0.353066814859,0.209592564302,0.615230572301,0.0563635220744,-0.558934055562,-0.489993590267,0.129478981026,-0.047178940774,0.438997992705,0.20657203915,0.112024630666,-0.401412558333,-0.453854605122,0.380535130843,-0.560230785762,-0.204262960219,0.514510165102,0.147258467373,0.519671588351,-0.732439870464,1.0,0.0196250104849,-0.189943030998,-0.367453705438,-0.128632997974,0.31739464393,-0.000541896225715,-0.0638704211851,-0.442760079472,0.0532064844935,-0.174622577509,0.129155739104,-0.674210591381,-0.335716216219,-0.516360185912,-0.529112338814,0.18012411705,0.161975094713,-0.152546144224,-0.15705738725,0.272549005633,-0.493527779025,-0.15627337437,-0.0305553884158,-0.584506050321,-0.0259989301299,-0.319137513507,-0.134303658435,0.158581530891,0.0248232788317,-0.0818709736539,0.154055008689,-0.130962209049,0.718674644204,-0.164233788459,-0.0313254859464,0.0218034384722,0.389871246628,-4.57230880181e-05,0.100481093107,0.132273958856,-0.220707870337,-0.195786529338,0.106456423947,0.320261564883,0.792648022595,0.0730314281682,-0.179473001802,-0.0804533506557,0.558652870682,-0.26923469093,0.405847314258,-0.436105091532,-0.618617419518,0.183287355278,-0.974476223408,-0.483124631857,0.210194265839,-0.0490661275153,-0.316421008317,0.31686129936,-0.161005092962,-0.344542370443,-0.409163881714,0.341560423986,-0.25115415439,0.365539125186
team,0.448676196238,0.0497472114814,-0.0655271008599,-0.504079629831,0.221338024027,0.808655398991,0.131819768486,-0.0529217697325,-0.114014768191,0.198383005161,0.419733226669,0.00997769700213,-0.209737757689,0.143569142053,0.548576325184,-1.0,-0.0665404107306,-0.208235144471,-0.376129889785,-0.176886246439,-0.431862890626,-0.346841161711,-0.58419521604,0.129449557827,0.885301800309,0.37437818223,0.440975824745,-0.652000072941,-0.304447049038,0.226466700148,0.654247878057,0.891939680164,0.315287886027,0.397012107671,-0.635478025862,0.659733604396,0.382709909991,-0.0303501761333,0.063312593492,0.0824911289662,0.664586363234,0.580972065252,0.528128650074,-0.171601682613,0.144319820724,-0.475348950153,-0.308248493162,0.523120835147,-0.170213286197,0.0575010338151,0.169679733953,-0.132730188834,-0.369855009517,-0.165552016769,0.151416805062,0.535428814075,0.666210459153,0.338428982098,0.365387917887,-0.570134011492,0.231762794139,-0.365320508025,-0.121731195493,-0.0847213544288,0.058214682287,-0.0873184042168,0.15190187566,0.172517386649,-0.0896323617526,-0.426076607546,-0.0800633451908,-0.0803806675706,-0.21961255853,0.184544718977,-0.270139909976,-0.032719449412,0.119114424385,0.382913660133,0.227060498468,-0.0508630706736,-0.278632892673,-0.219377140075,0.373728663118,0.113998571684,0.474341362017,0.0513272033156,-0.414023410208,0.186622809495,0.01402355021,0.230353586372,0.0933554912048,-0.0407904931599,0.376368525394,-0.370395111067,-0.141153319589,0.122643643045,-0.385971838508,-0.350065891904,0.129130889244,0.181861398038
family,0.467122608747,0.0794767724806,-0.0927714185201,-0.471017052566,-0.0172112117424,0.351766837018,0.361579567858,-0.0453640729232,-0.595992638094,-0.0204253824218,0.652186999914,-0.111033076629,0.549338881319,-0.0843723245725,-0.481248485455,0.339954212068,-0.0656631895888,0.393231446581,-0.358251158344,0.0876785984389,0.0372921738196,0.0148025717691,0.226686508612,0.167447822111,-0.259322391511,-0.173734764363,-1.0,-0.374703498424,0.14206565333,-0.094895504455,0.125103142934,0.283371757037,0.157487292342,-0.423039249978,0.314052887604,-0.262147843888,-0.453826170085,-0.0820597121024,-0.17224108234,0.066970725366,0.720317278049,0.0267375165657,0.213940450204,-0.229205909021,-0.0702455348507,-0.245103150638,-0.523308916506,-0.0205676517028,-0.106508615155,-0.182551117357,0.249539508233,0.114047940614,0.206354892967,-0.147690512886,-0.289801921312,-0.551549872224,0.949228742636,0.211406706585,0.30336228808,0.18404724635,0.0775029136069,-0.0339541972811,-0.11225578093,-0.219474895721,0.294793440822,-0.229199561042,0.173135112497,-0.0788140676795,0.11117294441,0.218848150025,-0.343697182853,-0.286611860882,0.200545012301,0.268294762264,0.855603648665,-0.100496162254,0.0884700286724,-0.167643494925,0.534104069746,-0.548363356864,0.469729362423,-0.352428900966,-0.221438852249,-0.218570041457,-0.621608649341,-0.212848804027,0.998730691899,0.0195735470266,0.587583454269,0.819449312325,-0.324858738697,0.618776187102,-0.461505199749,0.122803228108,0.903226283559,-0.561177030257,0.211463354265,-0.372414861435,-0.0721454224387,-0.308384175133
work,0.573601531337,0.0718409375178,0.344216123806,-0.552385513815,0.479823072762,0.253813471725,0.544542493729,-0.0163942400204,0.257803075393,-0.434272454981,-0.0397447710717,-0.343861191249,-0.329047999094,0.621005993702,0.134898239755,0.441003531313,0.035900874918,0.568262025597,-0.335071838054,0.141792958591,-0.436524697152,-0.165214330041,0.148767648542,-0.121330340221,-0.241081757059,0.171866453926,-0.464645078454,0.599635964528,0.411233956474,-0.399249186175,0.248603434042,0.356528681146,-0.344034428189,1.0,0.138409209691,-0.629602603607,-0.153798634103,-0.322604496257,0.814189862846,-0.271708804741,-0.0097544151086,-0.219369687588,0.0479352159283,0.332541071372,-0.111376550633,0.395020265861,0.20301217958,-0.216846614441,-0.0740338468801,-0.338913869638,-0.492731843782,0.0188370702845,-0.236886435569,0.22581298701,0.367120210571,-0.0207477076415,-0.335954563874,0.17765081867,0.30724035453,-0.567656326321,0.190681696957,-0.350424013235,-0.00565780631648,-0.0132167688492,0.113363622487,-0.388244281732,0.106932397364,0.0449762509823,0.187732421481,-0.026600345598,-0.199976299854,-0.163366010416,0.592796590673,0.572218922643,0.0095006812517,0.183267002461,0.110447542901,-0.113181942158,0.228713478511,0.0589042844867,-0.2754474776,0.122579202141,0.00198415553912,0.0877987830684,-0.238351359226,-0.0415470857905,-0.125761299243,-0.197501835578,0.414500866598,0.403417490656,-0.291630563657,0.387970049478,0.20154607697,-0.0184472589335,-0.529015463849,0.00367608796887,-0.19566539322,-0.256203485747,0.892482943783,0.27785470189
company,0.366275870784,0.0941966884425,-0.036178451576,-0.424846839228,0.0981376038857,0.524683495021,0.137028948288,0.201352474982,-0.217583666672,0.164212363809,-0.257593566723,-0.0564995949082,0.155496467634,0.253623488428,0.241575150097,-0.148688599462,-0.018769928734,-0.256281994681,-0.920334957675,0.126027447984,-0.405890384422,0.120279171479,0.00863370636696,-0.165514708251,-0.340463808341,0.00601213884057,-0.116784584861,-0.337528459441,0.267238882029,-0.125110792836,-0.626203374425,-0.253920290967,-0.267933569739,0.0788144278968,0.00343910204315,0.031330602686,-0.355454306955,0.176562548167,-0.159246093348,0.13480083754,0.479825738883,-0.0156849293136,0.214987184843,-0.0655449627916,0.311868812813,0.058658048131,-0.438758564951,-0.249159098826,0.422162998302,-0.35021226779,0.412856522179,0.188439961564,-0.282429040189,0.122801620421,0.251287908176,0.291806436691,0.161767987338,0.662218065335,0.243066130476,-0.532336481017,0.745166621497,-0.144631476167,-0.135827377823,-0.0900692229152,-0.640651787451,-0.0458489534093,-0.554343920448,0.0107203285375,0.204201078576,-0.371229504071,-0.345093774404,0.0681992906595,0.361511728099,0.38404896771,0.23627802822,0.224988171772,-0.165896430472,0.45438650162,-0.0758681895677,-0.597788454161,-0.133662394967,-0.306769032923,-0.0065253321229,0.160805398688,0.192438837287,-0.831038290432,-0.380018851201,-0.567506948231,1.0,0.230720700146,-0.00365136912041,0.643518468178,0.34806338955,-0.862318852169,-0.447041876639,0.534068611886,-0.148821734829,0.485072472813,-0.511568309548,-0.139915055806
use,0.511026950203,0.283687509069,0.716776070729,0.0126536419843,0.168274082563,-0.36576419791,0.0866564819295,0.210733577182,0.162099782008,-0.153279521366,-0.75595981141,-0.128967737686,-0.634822705092,0.290525398647,-0.0397749710267,-0.0180006246694,0.350467540488,0.0431545100518,-0.646420823626,0.582507576022,0.236619572387,0.096158504478,0.315137368605,-0.245051901967,0.0834580615835,0.174881327131,-0.516839486061,0.192203626754,0.113663226635,-0.00592924296487,0.363441318804,0.46951322018,-0.710234218498,0.904137255147,0.248758149292,-0.495699022388,-0.452714542904,0.109346942345,0.234193540373,-0.117296920361,0.0485285960051,0.00137400345017,0.0576090641854,0.0173104629602,-0.32292330731,-0.519478271306,-1.0,-0.406737644902,-0.246152244153,-0.0122760416235,0.143458609121,0.448747340868,-0.0907660259056,0.0926931060456,-0.801843907266,-0.271336213501,0.133915623767,-0.732194373472,0.115365056848,0.186512278364,-0.222056885143,0.0502860013296,-0.00894397956847,-0.199284374881,-0.0803570221388,-0.138808638391,0.83003445023,-0.520821597277,0.240233665576,0.142896478014,0.230112793049,0.283154094085,0.433718200178,-0.276574109094,-0.484691285436,-0.205707590336,-0.0207066274,0.36488103166,0.524264680596,0.265658938055,-0.247083496885,-0.329164136615,0.409347848742,-0.050064542374,0.0820268065627,-0.245798646421,-0.803551679469,-0.495231216955,-0.706347303359,-0.608602631618,0.198902567535,-0.159085450442,-0.443373562734,-0.134149113084,-0.214039672777,-0.718066318627,-0.407345285673,0.146997258689,-0.0556660237384,-0.6110506744
river,0.190331053558,0.00299267494461,-0.0622106887314,-0.204515056984,-0.23799865302,0.279108289052,-0.10469588506,0.0803479507412,-0.272955549538,0.135561075967,-0.0968210017151,0.573851192724,0.261710729585,-0.0106134183066,-0.571744441108,0.0860075196442,0.261878214447,0.372127368728,-0.189644290722,0.0439355173303,-0.0439197781027,-0.0962430894834,0.0974314647424,0.231598804249,0.0479066261063,0.27025952516,-0.049350554312,-0.428527707724,0.0378325052378,-0.0376288331576,-0.269270594666,-0.0364859288185,0.529553139443,-0.121311421458,0.210877331176,0.0598186567781,-0.0376360928831,0.309928890721,-0.382862178987,-0.0633830334909,-0.408044568082,-0.189318895384,-0.0683361466876,-0.0283983655259,0.187346775496,0.232783452387,0.0976074872326,0.0755577912572,-0.147783447107,-0.251852162624,-0.531987124007,-0.323741412419,-0.127291185578,0.101288655758,-0.0468306625592,0.0029288617898,-0.331747237971,-0.510119793085,-0.0236469000007,-0.471257852323,-0.286372356306,-0.341948489426,0.544635731776,0.498011709963,0.148457510384,0.396187929339,0.505243476563,-0.224243240838,-0.67733464497,0.237992491851,0.399531690204,-0.095190467032,-0.194021930792,0.174014951418,-0.437348216851,-0.572383834208,0.28035901879,-0.425164844531,0.444043352652,0.14828341601,-0.401201115891,-0.0532790479364,0.279110617184,0.0758062896288,0.348638889853,0.456471744871,-0.0659394862425,-0.049254776021,-0.297686766483,0.362068240597,-0.141813625352,-0.00290940710939,0.3089452372,-0.0329890138969,0.939472118084,0.0761933306901,0.0354126904776,0.189703411062,1.0,-0.326745233069
end,0.566265341808,-0.0678597362995,0.199177591845,-0.336187996056,0.259508154301,0.556755210887,-0.170234287006,-0.34241055074,0.128713603647,-0.011635853196,-0.0046816562999,0.664919258952,-0.711471925745,0.281755330689,-0.765161481856,-0.526941583571,-0.0886246711172,0.679123284143,-0.292116338912,-0.223721775177,0.198735563679,-0.408894092791,0.169249377629,0.0647180404495,0.0294386585339,0.403563869104,0.0119781614516,-0.119470544444,-0.0568114766614,0.143932908655,0.312721951211,0.230954402149,0.0248268836313,0.109808232225,0.769103389131,-0.414097620709,-0.0425353444062,0.0902299859132,-0.238412934482,-0.20336615527,-0.273909708963,-0.0508643221001,-0.0886251909453,-0.0159107311863,0.525607450982,0.364187739249,-0.400906600021,-0.335218587367,0.0241299387045,-0.19330594402,0.25145106073,0.342079608608,-0.144340501268,-0.0187852572787,-0.247554301558,-1.0,-0.385817052134,0.133137393988,0.263878794041,-0.058942962155,0.34940562664,0.0993626761335,0.0202585229741,0.401129907867,0.102535295711,0.0731170964582,0.559503992989,-0.420140925212,0.375264273422,0.282980163592,-0.215025108502,-0.0327006172348,-0.114082126424,0.575329530281,-0.296651906521,-0.0788064208017,-0.197524663124,0.102226589165,-0.112086955271,-0.307212373518,-0.244260149565,-0.115914397162,0.519549522877,-0.116648154383,-0.175387789955,-0.267388031652,0.0513704586394,0.350884193861,-0.265432410966,0.175415213207,-0.232712868571,-0.585505735109,0.026045967843,-0.498618670562,-0.216106044962,0.300777681852,-0.250892883707,0.375763184341,0.0780583951432,-0.0128846974229
