Num;Sentence;subj_verb_obj;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80;V81;V82;V83;V84;V85;V86;V87;V88;V89;V90
118;The.injured.horse.slept.at.night.;horse.slept.;0.661386;-0.103029;0.0456819;-0.0557617;0.00165797;0.00171815;0.0340878;-0.175396;-0.0305096;0.208961;-0.154192;0.0756717;0.039938;-0.0548942;-0.0934643;0.0797888;-0.0533213;0.0971392;-0.116304;0.170998;0.0180227;-0.061098;0.0356712;-0.140282;-0.102932;0.00534502;0.101039;-0.00165509;0.0111764;0.0560336;0.500835;-0.21057;-0.401347;0.0510349;-0.163964;-0.190201;0.066283;-0.0571149;-0.0107629;-0.0150086;0.127724;-0.00555699;0.0117712;-0.157153;-0.136559;0.00293081;-0.065956;-0.0675811;-0.0855964;-0.160042;0.101051;-0.157538;0.0344191;-0.0410726;0.0323969;-0.099243;-0.0821458;-0.0135431;0.0545284;0.122294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;The.journalist.interviewed.the.judge.;journalist.interviewed.judge;0.676638;-0.199933;0.0596971;-0.0466775;-0.0959866;0.0568791;0.113529;-0.050789;0.0689838;0.131813;-0.131548;-0.0212377;0.0635375;0.00367515;0.0830247;0.016306;-0.0679569;-0.13117;0.0787915;-0.00256515;0.00682013;-0.0554596;0.019155;-0.0407586;0.0435062;-0.0173642;0.0767814;0.0943379;-0.0846867;0.0660152;0.553186;-0.270714;-0.409611;0.0673683;-0.105512;-0.0968692;0.138159;0.0727651;-0.130485;0.0197795;0.165266;0.00122724;-0.14939;-0.0308763;-0.058487;-0.0457751;0.0229095;0.0356762;0.00502799;-0.0832309;0.0670151;-0.0755411;-0.0226471;-0.155406;-0.00967346;-0.0202756;0.0173499;0.0928507;0.0632902;0.0800433;0.724696;-0.260619;-0.0655229;-0.00611974;-0.0393111;0.00863254;-0.00255703;-0.0433577;0.273275;0.0756965;0.0190857;0.00999459;-0.0308915;-0.0230815;0.0378777;0.0186621;-0.0578327;-0.0214985;0.0555247;0.0172956;-0.00649349;-0.00345063;-0.0338772;-0.10172;0.0335728;0.0208481;-0.0387663;0.0592609;-0.0343736;0.0397018
120;The.judge.lost.the.dime.;judge.lost.dime;0.724696;-0.260619;-0.0655229;-0.00611974;-0.0393111;0.00863254;-0.00255703;-0.0433577;0.273275;0.0756965;0.0190857;0.00999459;-0.0308915;-0.0230815;0.0378777;0.0186621;-0.0578327;-0.0214985;0.0555247;0.0172956;-0.00649349;-0.00345063;-0.0338772;-0.10172;0.0335728;0.0208481;-0.0387663;0.0592609;-0.0343736;0.0397018;0.72579;-0.277484;-0.29951;0.110283;0.0231691;-0.00823256;0.0820044;-0.0393644;-0.0545179;0.122832;0.0394601;-0.0119507;-0.155031;0.0489013;-0.0716865;-0.00757869;0.0091748;0.0303608;0.00379335;-0.0807601;0.0360726;-0.109552;0.0204338;-0.0720317;0.00382778;-0.0372059;-0.0676019;-0.0149673;0.0624521;0.061549;0.589684;-0.198359;0.0887348;0.0545098;-0.00905977;0.1133;0.17535;-0.0512521;0.104661;0.126831;-0.216839;-0.0206255;0.10973;-0.0215473;0.0544089;-0.0354899;0.0445298;-0.0476994;-0.00972016;-0.082161;0.049533;-0.00471083;0.0986597;-0.0296068;0.0681088;0.0270373;-0.00123986;0.0262171;0.023428;0.00825701
121;The.judge.met.the.mayor.;judge.met.mayor;0.724696;-0.260619;-0.0655229;-0.00611974;-0.0393111;0.00863254;-0.00255703;-0.0433577;0.273275;0.0756965;0.0190857;0.00999459;-0.0308915;-0.0230815;0.0378777;0.0186621;-0.0578327;-0.0214985;0.0555247;0.0172956;-0.00649349;-0.00345063;-0.0338772;-0.10172;0.0335728;0.0208481;-0.0387663;0.0592609;-0.0343736;0.0397018;0.602654;-0.229669;-0.431076;0.11696;-0.0676443;-0.0867706;0.145981;-0.0480933;-0.0730736;0.0350819;0.152495;-0.0252479;-0.18355;-0.0292522;-0.0165301;-0.0624;0.0166797;0.0446944;-0.0114377;-0.0574947;0.0946813;-0.0840921;0.00408324;-0.140054;-0.0181335;-0.0593939;-0.0378387;0.0217133;0.0811598;0.0711859;0.775216;-0.175169;0.0887109;-0.083806;-0.0261802;0.00923424;-0.00595757;0.103724;0.119115;0.11589;0.0908411;0.0199339;-0.076971;0.0283756;-0.0647652;-0.0177577;-0.0637478;0.0175622;0.0612855;0.00779;-0.0255464;0.0128155;-0.030077;-0.111182;0.00605;-0.0123679;-0.0269861;0.0398513;-0.0041507;0.0213636
122;The.judge.stayed.at.the.hotel.during.the.vacation.;judge.stayed.;0.724696;-0.260619;-0.0655229;-0.00611974;-0.0393111;0.00863254;-0.00255703;-0.0433577;0.273275;0.0756965;0.0190857;0.00999459;-0.0308915;-0.0230815;0.0378777;0.0186621;-0.0578327;-0.0214985;0.0555247;0.0172956;-0.00649349;-0.00345063;-0.0338772;-0.10172;0.0335728;0.0208481;-0.0387663;0.0592609;-0.0343736;0.0397018;0.522217;-0.188836;-0.406097;0.063468;-0.2197;-0.187698;0.00918404;-0.0751148;-0.0177664;0.0474209;0.159752;0.016413;-0.0374528;-0.116123;-0.0882297;-0.0485866;-0.027152;-0.0889165;-0.131714;-0.139427;0.0904253;-0.121056;-0.00808851;-0.0625629;0.0369695;-0.096753;-0.082867;-0.00193833;0.0505779;0.113987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;The.jury.listened.to.the.famous.businessman.;jury.listened.;0.689772;-0.322247;0.177418;-0.0482688;-0.0896071;0.102867;0.0507632;0.0669275;0.182864;0.0879176;0.0240199;-0.0149566;-0.0293935;-0.00367243;0.0303895;0.00748527;-0.0427346;-0.0479748;0.0361891;0.0168445;-0.00256599;0.004555;-0.0249961;-0.123966;-0.00754428;0.0100998;-0.0488146;0.0409329;0.0221054;0.0353042;0.493125;-0.239861;-0.449433;0.0942827;-0.157209;-0.160202;0.0685335;-0.0119847;-0.0444709;-0.0017222;0.125065;-0.00588083;-0.0195332;-0.0844364;-0.129983;-0.0391651;-0.00412988;-0.0414517;-0.0591609;-0.141754;0.0837022;-0.154715;0.0188011;-0.0481087;0.0216922;-0.0645044;-0.0615016;0.0114889;0.0724882;0.0992618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;The.jury.watched.the.witness.;jury.watched.witness;0.689772;-0.322247;0.177418;-0.0482688;-0.0896071;0.102867;0.0507632;0.0669275;0.182864;0.0879176;0.0240199;-0.0149566;-0.0293935;-0.00367243;0.0303895;0.00748527;-0.0427346;-0.0479748;0.0361891;0.0168445;-0.00256599;0.004555;-0.0249961;-0.123966;-0.00754428;0.0100998;-0.0488146;0.0409329;0.0221054;0.0353042;0.5631;-0.228898;-0.426619;0.0839417;-0.148632;-0.159598;0.0649587;-0.036338;-0.00249858;0.035661;0.105539;0.00993675;0.00380015;-0.0907285;-0.129731;-0.0403567;-0.00222351;-0.0374203;-0.0892467;-0.136791;0.100439;-0.121646;0.0281464;-0.0396785;0.0250641;-0.101185;-0.0397783;-0.00321088;0.0593981;0.0941101;0.724078;-0.335512;-0.0250124;0.0441903;-0.0467296;0.0694361;0.0304125;-0.0582803;0.231546;0.0566008;-0.0224959;0.0278856;-0.0223324;-0.0250903;0.0496567;0.015097;0.0106706;-0.0297593;-0.0157961;-0.00626078;0.00275492;-0.0209627;0.0168359;-0.0256077;0.0463566;-0.00353735;-0.0109685;0.0855146;0.0214672;0.0139938
125;The.lawyer.drank.coffee.;lawyer.drank.coffee;0.596877;-0.186188;0.086593;-0.0194616;-0.071088;0.0461226;0.0715307;-0.105964;0.0701449;0.206373;-0.134381;0.0416367;-0.00537524;-0.00320275;0.0993142;-0.0216152;0.032624;-0.101345;0.0255775;0.00800992;-0.00327823;0.0267813;0.0755049;-0.087278;0.0854899;0.000866693;0.0553259;0.0873138;-0.0339636;0.0854078;0.529736;-0.181238;-0.364607;0.0118253;-0.148062;-0.208069;0.0137482;-0.0629204;-0.0212522;-0.0154286;0.0978838;-0.0321999;0.0697384;-0.208878;-0.143362;-0.0242244;-0.0873905;-0.100368;-0.0758589;-0.139414;0.0763592;-0.140959;0.0364915;-0.0312059;0.0233745;-0.100759;-0.0700708;-0.0172964;0.0394333;0.091325;0.742973;-0.118009;0.0396774;-0.0411428;0.062414;-0.0464712;-0.0543244;-0.165672;-0.0641113;0.0999863;-0.163382;0.00634586;-0.00346665;-0.0099641;-0.017974;-0.0293128;0.00742974;0.0815527;-0.00172985;-0.0733076;0.0425266;0.0230384;0.0319554;0.0264347;-0.018037;-0.064675;-0.0346307;-0.038114;0.0115176;0.0299005
126;The.lawyer.was.friendly.;lawyer.was.friendly;0.596877;-0.186188;0.086593;-0.0194616;-0.071088;0.0461226;0.0715307;-0.105964;0.0701449;0.206373;-0.134381;0.0416367;-0.00537524;-0.00320275;0.0993142;-0.0216152;0.032624;-0.101345;0.0255775;0.00800992;-0.00327823;0.0267813;0.0755049;-0.087278;0.0854899;0.000866693;0.0553259;0.0873138;-0.0339636;0.0854078;0.606418;-0.163899;-0.23734;0.013636;-0.195265;-0.164073;-0.0426718;-0.264093;-0.047737;0.187805;0.168008;-0.104679;-0.0687691;-0.106101;0.103015;0.0141193;-0.276659;-0.107922;0.00954951;0.00349804;0.0626576;-0.0889314;0.0419047;0.0352784;0.0106005;-0.03506;-0.0624243;-0.0526197;-0.0236216;-0.00410861;0.618;-0.0750922;-0.0590574;0.0613017;-0.0726028;0.00452244;0.069713;-0.0833683;-0.0625126;0.112306;-0.017405;0.198378;0.123735;0.104706;0.0140927;-0.0652538;0.00671743;-0.0536375;-0.0998634;0.0400735;-0.0348001;0.065583;-0.0230641;0.0227021;0.0612141;-0.036086;0.0450046;0.0332156;-0.012341;-0.0621468
127;The.lonely.patient.listened.to.the.loud.television.;patient.listened.;0.771712;-0.364999;0.0970257;0.0216396;0.0106282;0.145479;0.00807091;-0.00220064;0.0450897;0.056586;0.00845118;0.00151219;-0.00661371;0.0491917;0.0715303;-0.0239377;0.040097;-0.0267361;0.0268267;0.0472528;0.0003852;0.00353805;0.033194;-0.101767;-0.00212346;0.00502253;-0.00767698;0.0330918;0.0638173;0.00823085;0.493125;-0.239861;-0.449433;0.0942827;-0.157209;-0.160202;0.0685335;-0.0119847;-0.0444709;-0.0017222;0.125065;-0.00588083;-0.0195332;-0.0844364;-0.129983;-0.0391651;-0.00412988;-0.0414517;-0.0591609;-0.141754;0.0837022;-0.154715;0.0188011;-0.0481087;0.0216922;-0.0645044;-0.0615016;0.0114889;0.0724882;0.0992618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
